,date,value
0,2013-01-01,8.0
1,2013-02-01,7.7
2,2013-03-01,7.5
3,2013-04-01,7.6
4,2013-05-01,7.5
5,2013-06-01,7.5
6,2013-07-01,7.3
7,2013-08-01,7.2
8,2013-09-01,7.2
9,2013-10-01,7.2
10,2013-11-01,6.9
11,2013-12-01,6.7
12,2014-01-01,6.6
13,2014-02-01,6.7
14,2014-03-01,6.7
15,2014-04-01,6.2
16,2014-05-01,6.3
17,2014-06-01,6.1
18,2014-07-01,6.2
19,2014-08-01,6.1
20,2014-09-01,5.9
21,2014-10-01,5.7
22,2014-11-01,5.8
23,2014-12-01,5.6
24,2015-01-01,5.7
25,2015-02-01,5.5
26,2015-03-01,5.4
27,2015-04-01,5.4
28,2015-05-01,5.6
29,2015-06-01,5.3
30,2015-07-01,5.2
31,2015-08-01,5.1
32,2015-09-01,5.0
33,2015-10-01,5.0
34,2015-11-01,5.1
35,2015-12-01,5.0
36,2016-01-01,4.8
37,2016-02-01,4.9
38,2016-03-01,5.0
39,2016-04-01,5.1
40,2016-05-01,4.8
41,2016-06-01,4.9
42,2016-07-01,4.8
43,2016-08-01,4.9
44,2016-09-01,5.0
45,2016-10-01,4.9
46,2016-11-01,4.7
47,2016-12-01,4.7
48,2017-01-01,4.7
49,2017-02-01,4.6
50,2017-03-01,4.4
51,2017-04-01,4.4
52,2017-05-01,4.4
53,2017-06-01,4.3
54,2017-07-01,4.3
55,2017-08-01,4.4
56,2017-09-01,4.3
57,2017-10-01,4.2
58,2017-11-01,4.2
59,2017-12-01,4.1
60,2018-01-01,4.0
61,2018-02-01,4.1
62,2018-03-01,4.0
63,2018-04-01,4.0
64,2018-05-01,3.8
65,2018-06-01,4.0
66,2018-07-01,3.8
67,2018-08-01,3.8
68,2018-09-01,3.7
69,2018-10-01,3.8
70,2018-11-01,3.8
71,2018-12-01,3.9
72,2019-01-01,4.0
73,2019-02-01,3.8
74,2019-03-01,3.8
75,2019-04-01,3.7
76,2019-05-01,3.6
77,2019-06-01,3.6
78,2019-07-01,3.7
79,2019-08-01,3.6
80,2019-09-01,3.5
81,2019-10-01,3.6
82,2019-11-01,3.6
83,2019-12-01,3.6
84,2020-01-01,3.6
85,2020-02-01,3.5
86,2020-03-01,4.4
87,2020-04-01,14.8
88,2020-05-01,13.2
89,2020-06-01,11.0
90,2020-07-01,10.2
91,2020-08-01,8.4
92,2020-09-01,7.8
93,2020-10-01,6.8
94,2020-11-01,6.7
95,2020-12-01,6.7
96,2021-01-01,6.4
97,2021-02-01,6.2
98,2021-03-01,6.1
99,2021-04-01,6.1
100,2021-05-01,5.8
101,2021-06-01,5.9
102,2021-07-01,5.4
103,2021-08-01,5.1
104,2021-09-01,4.7
105,2021-10-01,4.5
106,2021-11-01,4.1
107,2021-12-01,3.9
108,2022-01-01,4.0
109,2022-02-01,3.8
110,2022-03-01,3.6
111,2022-04-01,3.7
112,2022-05-01,3.6
113,2022-06-01,3.6
114,2022-07-01,3.5
115,2022-08-01,3.6
116,2022-09-01,3.5
117,2022-10-01,3.6
118,2022-11-01,3.6
119,2022-12-01,3.5
120,2023-01-01,3.4
121,2023-02-01,3.6
122,2023-03-01,3.5
123,2023-04-01,3.4
124,2023-05-01,3.7
125,2023-06-01,3.6
126,2023-07-01,3.5
127,2023-08-01,3.8
128,2023-09-01,3.8
129,2023-10-01,3.8
130,2023-11-01,3.7
131,2023-12-01,3.7
